# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 154K of event 'cycles'
# Event count (approx.): 300167637769
#
# Overhead  Command          Shared Object            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                
# ........  ...............  .......................  ......................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.11%  dockerd          [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.11%  docker-proxy     [kernel.kallsyms]        [k] do_syscall_64
     0.10%  search           search                   [.] runtime.selectgo
     0.10%  dockerd          dockerd                  [.] time.nextStdChunk
     0.10%  geo              geo                      [.] runtime.memmove
     0.10%  geo              geo                      [.] runtime.pcvalue
     0.10%  profile          profile                  [.] compress/flate.(*compressor).deflate
     0.10%  frontend         frontend                 [.] encoding/json.(*Decoder).readValue
     0.10%  reservation      [kernel.kallsyms]        [k] do_syscall_64
     0.10%  rate             rate                     [.] runtime.memmove
     0.10%  search           search                   [.] encoding/json.(*Decoder).readValue
     0.09%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger.(*Copier).copySrc
     0.09%  swapper          [kernel.kallsyms]        [k] psi_task_change
     0.09%  rate             rate                     [.] runtime.pcvalue
     0.09%  geo              geo                      [.] runtime.gentraceback
     0.09%  frontend         frontend                 [.] compress/flate.(*huffmanEncoder).generate
     0.09%  swapper          [kernel.kallsyms]        [k] load_new_mm_cr3
     0.09%  wrk              [kernel.kallsyms]        [k] do_syscall_64
     0.09%  search           search                   [.] runtime.gentraceback
     0.09%  recommendation   recommendation           [.] runtime.heapBitsSetType
     0.09%  dockerd          [kernel.kallsyms]        [k] __fget_light
     0.09%  search           search                   [.] runtime.newobject
     0.08%  dockerd          [kernel.kallsyms]        [k] update_load_avg
     0.08%  containerd-shim  [kernel.kallsyms]        [k] __fget_light
     0.08%  containerd-shim  [kernel.kallsyms]        [k] __schedule
     0.08%  containerd-shim  [kernel.kallsyms]        [k] timerqueue_add
     0.08%  frontend         frontend                 [.] path/filepath.Clean
     0.08%  frontend         frontend                 [.] compress/flate.(*huffmanBitWriter).generateCodegen
     0.08%  frontend         frontend                 [.] time.nextStdChunk
     0.08%  reservation      [kernel.kallsyms]        [k] psi_task_change
     0.08%  reservation      reservation              [.] runtime.pcvalue
     0.08%  profile          profile                  [.] encoding/json.stateInString
     0.08%  geo              geo                      [.] encoding/json.(*Decoder).readValue
     0.08%  profile          profile                  [.] encoding/json.(*decodeState).rescanLiteral
     0.08%  search           [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.08%  search           search                   [.] runtime.mapaccess1
     0.08%  frontend         frontend                 [.] runtime.findfunc
     0.08%  profile          [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.08%  containerd-shim  [kernel.kallsyms]        [k] update_load_avg
     0.08%  reservation      reservation              [.] runtime.stealWork
     0.08%  frontend         frontend                 [.] runtime.lock2
     0.08%  frontend         frontend                 [.] runtime.mapaccess1
     0.08%  recommendation   recommendation           [.] runtime.step
     0.08%  profile          profile                  [.] runtime.findfunc
     0.07%  containerd-shim  [kernel.kallsyms]        [k] update_cfs_group
     0.07%  frontend         frontend                 [.] runtime.mapiternext
     0.07%  reservation      reservation              [.] runtime.memmove
     0.07%  wrk              wrk                      [.] aeProcessEvents
     0.07%  frontend         frontend                 [.] runtime.growslice
     0.07%  rate             [kernel.kallsyms]        [k] psi_task_change
     0.07%  dockerd          [kernel.kallsyms]        [k] ext4_do_update_inode
     0.07%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteByte
     0.07%  wrk              wrk                      [.] lj_BC_TGETS
     0.07%  docker-proxy     [kernel.kallsyms]        [k] psi_task_change
     0.07%  recommendation   recommendation           [.] runtime.scanobject
     0.07%  geo              [kernel.kallsyms]        [k] psi_task_change
     0.07%  profile          [kernel.kallsyms]        [k] psi_task_change
     0.07%  frontend         frontend                 [.] compress/flate.(*huffmanEncoder).bitLength
     0.07%  frontend         [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.07%  frontend         frontend                 [.] runtime.greyobject
     0.07%  search           search                   [.] runtime.findObject
     0.07%  wrk              libc-2.31.so             [.] __printf_fp_l
     0.07%  frontend         frontend                 [.] runtime.mapaccess1_faststr
     0.07%  search           search                   [.] path/filepath.Clean
     0.07%  frontend         frontend                 [.] time.Time.AppendFormat
     0.07%  frontend         [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.07%  frontend         frontend                 [.] fmt.(*pp).doPrintf
     0.07%  frontend         frontend                 [.] runtime.casgstatus
     0.07%  profile          profile                  [.] time.Time.AppendFormat
     0.07%  reservation      reservation              [.] runtime.findfunc
     0.07%  rate             rate                     [.] runtime.findfunc
     0.07%  frontend         frontend                 [.] runtime.unlock2
     0.07%  frontend         frontend                 [.] compress/flate.(*huffmanDecoder).init
     0.06%  dockerd          dockerd                  [.] runtime.findRunnable
     0.06%  search           search                   [.] fmt.(*pp).doPrintf
     0.06%  search           search                   [.] runtime.(*itabTableType).find
     0.06%  recommendation   [kernel.kallsyms]        [k] do_syscall_64
     0.06%  frontend         frontend                 [.] time.parse
     0.06%  frontend         frontend                 [.] runtime.mapaccess2
     0.06%  frontend         frontend                 [.] runtime.(*itabTableType).find
     0.06%  rate             rate                     [.] runtime.stealWork
     0.06%  search           search                   [.] runtime.findfunc
     0.06%  search           search                   [.] aeshashbody
     0.06%  profile          profile                  [.] runtime.(*itabTableType).find
     0.06%  frontend         [vdso]                   [.] __vdso_clock_gettime
     0.06%  wrk              wrk                      [.] http_parser_execute
     0.06%  frontend         frontend                 [.] runtime.mapassign
     0.06%  search           search                   [.] time.parse
     0.06%  frontend         [kernel.kallsyms]        [k] __fget_light
     0.06%  profile          profile                  [.] encoding/json.(*decodeState).object
     0.06%  search           search                   [.] compress/flate.(*huffmanEncoder).bitCounts
     0.06%  containerd-shim  [kernel.kallsyms]        [k] ep_send_events_proc
     0.06%  containerd-shim  [kernel.kallsyms]        [k] switch_fpu_return
     0.06%  search           search                   [.] time.nextStdChunk
     0.06%  rate             rate                     [.] encoding/json.(*Decoder).readValue
     0.06%  swapper          [kernel.kallsyms]        [k] native_write_msr
     0.06%  frontend         [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.06%  swapper          [kernel.kallsyms]        [k] cpuidle_enter_state
     0.06%  frontend         frontend                 [.] memeqbody
     0.06%  geo              geo                      [.] runtime.mapiternext
     0.06%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).NewStream
     0.06%  search           [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.06%  dockerd          [kernel.kallsyms]        [k] __schedule
     0.06%  dockerd          dockerd                  [.] runtime.casgstatus
     0.06%  swapper          [kernel.kallsyms]        [k] find_next_bit
     0.06%  geo              geo                      [.] runtime.newobject
     0.06%  profile          profile                  [.] path/filepath.Clean
     0.06%  search           search                   [.] encoding/json.(*decodeState).object
     0.06%  profile          profile                  [.] runtime.newobject
     0.06%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Write
     0.06%  profile          profile                  [.] encoding/json.checkValid
     0.06%  containerd-shim  [kernel.kallsyms]        [k] ep_poll_callback
     0.06%  profile          profile                  [.] time.nextStdChunk
     0.06%  swapper          [kernel.kallsyms]        [k] pick_next_entity
     0.06%  frontend         frontend                 [.] runtime.wbBufFlush1
     0.06%  frontend         frontend                 [.] runtime.mapassign_faststr
     0.06%  profile          profile                  [.] time.parse
     0.06%  search           [kernel.kallsyms]        [k] psi_task_change
     0.06%  dockerd          dockerd                  [.] time.appendInt
     0.06%  containerd-shim  [kernel.kallsyms]        [k] update_curr
     0.06%  profile          [kernel.kallsyms]        [k] update_load_avg
     0.06%  dockerd          dockerd                  [.] bytes.(*Buffer).WriteString
     0.06%  reservation      reservation              [.] runtime.gentraceback
     0.06%  search           search                   [.] runtime.lock2
     0.06%  recommendation   [kernel.kallsyms]        [k] psi_task_change
     0.05%  geo              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.05%  swapper          [kernel.kallsyms]        [k] read_tsc
     0.05%  reservation      reservation              [.] runtime.newobject
     0.05%  geo              geo                      [.] runtime.stealWork
     0.05%  swapper          [kernel.kallsyms]        [k] update_blocked_averages
     0.05%  profile          profile                  [.] runtime.stealWork
     0.05%  geo              geo                      [.] time.Time.AppendFormat
     0.05%  dockerd          [kernel.kallsyms]        [k] try_to_wake_up
     0.05%  dockerd          [kernel.kallsyms]        [k] update_cfs_group
     0.05%  dockerd          [kernel.kallsyms]        [k] kmem_cache_alloc
     0.05%  frontend         frontend                 [.] encoding/json.unquoteBytes
     0.05%  frontend         frontend                 [.] compress/flate.(*decompressor).Reset
     0.05%  frontend         frontend                 [.] fmt.(*pp).printArg
     0.05%  profile          profile                  [.] runtime.findObject
     0.05%  search           search                   [.] runtime.unlock2
     0.05%  geo              geo                      [.] time.parse
     0.05%  rate             [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.05%  dockerd          [kernel.kallsyms]        [k] __find_get_block
     0.05%  search           search                   [.] time.Time.AppendFormat
     0.05%  profile          profile                  [.] github.com/rs/zerolog/internal/json.appendStringComplex
     0.05%  rate             rate                     [.] encoding/json.unquoteBytes
     0.05%  frontend         frontend                 [.] golang.org/x/net/http2/hpack.AppendHuffmanString
     0.05%  geo              geo                      [.] time.nextStdChunk
     0.05%  frontend         frontend                 [.] encoding/json.(*decodeState).object
     0.05%  dockerd          [kernel.kallsyms]        [k] update_curr
     0.05%  profile          profile                  [.] runtime.getStackMap
     0.05%  frontend         frontend                 [.] runtime.bulkBarrierPreWrite
     0.05%  rate             rate                     [.] runtime.gentraceback
     0.05%  docker-proxy     [kernel.kallsyms]        [k] __fget_light
     0.05%  frontend         [kernel.kallsyms]        [k] psi_task_change
     0.05%  reservation      reservation              [.] time.Time.AppendFormat
     0.05%  geo              geo                      [.] runtime.findfunc
     0.05%  frontend         frontend                 [.] encoding/json.(*decodeState).rescanLiteral
     0.05%  swapper          [kernel.kallsyms]        [k] __switch_to_asm
     0.05%  rate             rate                     [.] runtime.newobject
     0.05%  swapper          [kernel.kallsyms]        [k] apic_timer_interrupt
     0.05%  search           search                   [.] path/filepath.Rel
     0.05%  search           search                   [.] compress/flate.(*huffmanEncoder).generate
     0.05%  profile          profile                  [.] runtime.casgstatus
     0.05%  containerd-shim  [kernel.kallsyms]        [k] pipe_poll
     0.05%  frontend         frontend                 [.] google.golang.org/grpc.(*clientStream).RecvMsg
     0.05%  profile          profile                  [.] path/filepath.Rel
     0.05%  profile          profile                  [.] runtime.selectgo
     0.05%  frontend         frontend                 [.] compress/flate.(*decompressor).huffSym
     0.05%  dockerd          [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.05%  geo              geo                      [.] path/filepath.Clean
     0.05%  search           search                   [.] runtime.mapiternext
     0.05%  dockerd          [kernel.kallsyms]        [k] xas_load
     0.05%  dockerd          [kernel.kallsyms]        [k] enqueue_task_fair
     0.05%  profile          [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.05%  containerd-shim  [vdso]                   [.] __vdso_clock_gettime
     0.05%  mc-worker        libc.so.6                [.] __pthread_mutex_lock
     0.05%  frontend         frontend                 [.] path/filepath.Rel
     0.05%  profile          profile                  [.] memeqbody
     0.05%  dockerd          [vdso]                   [.] __vdso_clock_gettime
     0.05%  docker-proxy     docker-proxy             [.] runtime.stealWork
     0.05%  profile          profile                  [.] runtime.growslice
     0.05%  frontend         frontend                 [.] runtime.schedule
     0.05%  wrk              libc-2.31.so             [.] __vfprintf_internal
     0.05%  search           search                   [.] compress/flate.(*huffmanBitWriter).generateCodegen
     0.04%  swapper          [kernel.kallsyms]        [k] rb_next
     0.04%  reservation      reservation              [.] fmt.isSpace
     0.04%  search           search                   [.] runtime.mapaccess1_faststr
     0.04%  containerd-shim  [kernel.kallsyms]        [k] cpuacct_charge
     0.04%  geo              geo                      [.] fmt.(*pp).doPrintf
     0.04%  rate             rate                     [.] runtime.(*itabTableType).find
     0.04%  dockerd          dockerd                  [.] runtime.chanrecv
     0.04%  dockerd          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.04%  frontend         frontend                 [.] encoding/json.stateInString
     0.04%  dockerd          dockerd                  [.] runtime.checkTimers
     0.04%  geo              geo                      [.] runtime.memhash128
     0.04%  search           search                   [.] memeqbody
     0.04%  swapper          [kernel.kallsyms]        [k] __next_timer_interrupt
     0.04%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock
     0.04%  rate             rate                     [.] runtime.getStackMap
     0.04%  search           search                   [.] runtime.growslice
     0.04%  geo              geo                      [.] encoding/json.(*decodeState).object
     0.04%  reservation      [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.04%  profile          profile                  [.] runtime.mapiternext
     0.04%  geo              [kernel.kallsyms]        [k] update_load_avg
     0.04%  search           search                   [.] runtime.mapassign
     0.04%  search           search                   [.] runtime.casgstatus
     0.04%  frontend         frontend                 [.] runtime.(*spanSet).push
     0.04%  swapper          [kernel.kallsyms]        [k] __update_load_avg_se
     0.04%  frontend         [kernel.kallsyms]        [k] ipt_do_table
     0.04%  frontend         frontend                 [.] compress/flate.(*compressor).deflate
     0.04%  swapper          [kernel.kallsyms]        [k] native_sched_clock
     0.04%  reservation      reservation              [.] time.nextStdChunk
     0.04%  frontend         frontend                 [.] fmt.(*fmt).fmtInteger
     0.04%  geo              geo                      [.] encoding/json.unquoteBytes
     0.04%  docker-proxy     [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.04%  search           search                   [.] compress/flate.(*huffmanEncoder).bitLength
     0.04%  rate             rate                     [.] compress/flate.(*huffmanEncoder).bitCounts
     0.04%  reservation      reservation              [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.04%  dockerd          dockerd                  [.] runtime.lock2
     0.04%  wrk              [kernel.kallsyms]        [k] psi_task_change
     0.04%  frontend         frontend                 [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.04%  profile          profile                  [.] runtime.lock2
     0.04%  recommendation   recommendation           [.] runtime.stealWork
     0.04%  frontend         [kernel.kallsyms]        [k] update_load_avg
     0.04%  search           search                   [.] encoding/json.unquoteBytes
     0.04%  reservation      reservation              [.] runtime.getStackMap
     0.04%  swapper          [kernel.kallsyms]        [k] pick_next_task_fair
     0.04%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_cfs_rq
     0.04%  reservation      [kernel.kallsyms]        [k] update_load_avg
     0.04%  rate             rate                     [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.04%  frontend         frontend                 [.] github.com/uber/jaeger-client-go.(*Tracer).startSpanWithOptions
     0.04%  containerd-shim  [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.04%  containerd-shim  [kernel.kallsyms]        [k] mutex_lock
     0.04%  search           [kernel.kallsyms]        [k] update_load_avg
     0.04%  frontend         frontend                 [.] google.golang.org/grpc.newClientStream
     0.04%  frontend         frontend                 [.] net/url.unescape
     0.04%  search           search                   [.] context.(*valueCtx).Done
     0.04%  geo              geo                      [.] runtime.selectgo
     0.04%  frontend         frontend                 [.] indexbytebody
     0.04%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger/jsonfilelog.(*JSONFileLogger).Log
     0.04%  recommendation   recommendation           [.] math.pow
     0.04%  dockerd          [kernel.kallsyms]        [k] enqueue_entity
     0.04%  containerd-shim  [kernel.kallsyms]        [k] common_file_perm
     0.04%  recommendation   recommendation           [.] runtime.mapiternext
     0.04%  profile          profile                  [.] fmt.(*pp).doPrintf
     0.04%  rate             rate                     [.] time.Time.AppendFormat
     0.04%  dockerd          [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath
     0.04%  containerd-shim  [kernel.kallsyms]        [k] __wake_up_common
     0.04%  frontend         frontend                 [.] runtime.gcWriteBarrier
     0.04%  dockerd          dockerd                  [.] bytes.(*Buffer).Write
     0.04%  rate             [kernel.kallsyms]        [k] update_load_avg
     0.04%  swapper          [kernel.kallsyms]        [k] _raw_spin_lock_irqsave
     0.04%  docker-proxy     [kernel.kallsyms]        [k] __nf_conntrack_find_get
     0.04%  dockerd          [kernel.kallsyms]        [k] switch_fpu_return
     0.04%  recommendation   recommendation           [.] runtime.newobject
     0.04%  search           [kernel.kallsyms]        [k] veth_xmit
     0.04%  reservation      reservation              [.] runtime.mapassign_faststr
     0.04%  search           search                   [.] runtime.mapaccess2
     0.04%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/ioutils.(*BytesPipe).Read
     0.04%  mc-lrumaint      libc.so.6                [.] __pthread_mutex_lock
     0.04%  dockerd          [kernel.kallsyms]        [k] reweight_entity
     0.04%  reservation      reservation              [.] aeshashbody
     0.04%  dockerd          dockerd                  [.] runtime.netpoll
     0.04%  reservation      reservation              [.] runtime.casgstatus
     0.04%  frontend         frontend                 [.] runtime.sellock
     0.04%  frontend         frontend                 [.] runtime.scanblock
     0.04%  frontend         frontend                 [.] google.golang.org/grpc/transport.(*http2Client).itemHandler
     0.04%  recommendation   recommendation           [.] github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations
     0.04%  docker-proxy     [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.04%  geo              geo                      [.] runtime.casgstatus
     0.04%  frontend         frontend                 [.] context.(*valueCtx).Done
     0.04%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     0.04%  profile          profile                  [.] sort.doPivot
     0.04%  rate             rate                     [.] runtime.selectgo
     0.04%  geo              geo                      [.] runtime.growslice
     0.04%  frontend         [kernel.kallsyms]        [k] ip_finish_output2
     0.04%  rate             rate                     [.] encoding/json.stateInString
     0.04%  dockerd          dockerd                  [.] github.com/docker/docker/daemon/logger/loggerutils.(*LogFile).WriteLogEntry
     0.04%  frontend         [kernel.kallsyms]        [k] nf_hook_slow
     0.04%  rate             [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.04%  recommendation   recommendation           [.] runtime.memmove
     0.04%  frontend         frontend                 [.] runtime.mapdelete
     0.04%  search           [kernel.kallsyms]        [k] __fget_light
     0.04%  frontend         [kernel.kallsyms]        [k] nf_conntrack_tcp_packet
     0.04%  profile          profile                  [.] runtime.mapassign
     0.04%  swapper          [kernel.kallsyms]        [k] __switch_to
     0.04%  profile          profile                  [.] runtime.mapaccess1_faststr
     0.04%  containerd-shim  [kernel.kallsyms]        [k] copy_user_enhanced_fast_string
     0.04%  frontend         frontend                 [.] context.(*cancelCtx).Done
     0.04%  geo              [kernel.kallsyms]        [k] syscall_return_via_sysret
     0.04%  frontend         frontend                 [.] runtime.(*spanSet).pop
     0.04%  profile          profile                  [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.04%  containerd-shim  [kernel.kallsyms]        [k] __update_load_avg_se
     0.04%  profile          profile                  [.] fmt.(*pp).printArg
     0.04%  dockerd          [kernel.kallsyms]        [k] ext4_write_end
     0.04%  frontend         frontend                 [.] runtime.getStackMap
     0.04%  frontend         [kernel.kallsyms]        [k] veth_xmit
     0.04%  profile          profile                  [.] encoding/json.(*decodeState).literalStore
     0.03%  geo              geo                      [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.03%  geo              geo                      [.] runtime.(*itabTableType).find
     0.03%  dockerd          dockerd                  [.] github.com/docker/docker/pkg/broadcaster.(*Unbuffered).Write
     0.03%  containerd-shim  [kernel.kallsyms]        [k] reweight_entity
     0.03%  dockerd          [kernel.kallsyms]        [k] timerqueue_add
     0.03%  search           search                   [.] fmt.(*pp).printArg
     0.03%  search           search                   [.] encoding/json.stateInString
     0.03%  rate             rate                     [.] encoding/json.(*decodeState).object
     0.03%  profile          profile                  [.] runtime.mapaccess2_faststr
     0.03%  recommendation   recommendation           [.] runtime.gentraceback
     0.03%  frontend         frontend                 [.] context.(*valueCtx).Value
     0.03%  rate             rate                     [.] compress/flate.(*compressor).deflate
     0.03%  search           search                   [.] encoding/json.(*decodeState).rescanLiteral
     0.03%  geo              geo                      [.] path/filepath.Rel
     0.03%  reservation      [vdso]                   [.] __vdso_clock_gettime
     0.03%  dockerd          dockerd                  [.] runtime.reentersyscall
     0.03%  frontend         frontend                 [.] compress/flate.(*decompressor).huffmanBlock
     0.03%  dockerd          [kernel.kallsyms]        [k] select_task_rq_fair
     0.03%  rate             rate                     [.] memeqbody
     0.03%  profile          profile                  [.] compress/flate.(*byFreq).Less
     0.03%  geo              geo                      [.] fmt.(*pp).printArg
     0.03%  containerd-shim  [kernel.kallsyms]        [k] ep_poll
     0.03%  search           search                   [.] compress/flate.(*decompressor).Reset
     0.03%  wrk              [kernel.kallsyms]        [k] entry_SYSCALL_64
     0.03%  profile          profile                  [.] sync.(*Pool).Get
     0.03%  swapper          [kernel.kallsyms]        [k] tick_nohz_next_event
     0.03%  rate             rate                     [.] runtime.growslice
     0.03%  rate             rate                     [.] time.parse
     0.03%  search           search                   [.] github.com/rs/zerolog/internal/json.Encoder.AppendString
     0.03%  wrk              [kernel.kallsyms]        [k] __fget_light
     0.03%  wrk              [kernel.kallsyms]        [k] __schedule
     0.03%  frontend         [kernel.kallsyms]        [k] __tcp_transmit_skb
     0.03%  reservation      [kernel.kallsyms]        [k] __schedule
     0.03%  dockerd          [kernel.kallsyms]        [k] ext4_write_begin
     0.03%  rate             rate                     [.] runtime.casgstatus
     0.03%  dockerd          dockerd                  [.] runtime.nanotime1.abi0
     0.03%  containerd-shim  [kernel.kallsyms]        [k] pipe_read
     0.03%  rate             rate                     [.] encoding/json.(*decodeState).rescanLiteral
     0.03%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     0.03%  dockerd          dockerd                  [.] time.absDate
     0.03%  profile          profile                  [.] runtime.adjustpointers
     0.03%  containerd-shim  [kernel.kallsyms]        [k] __switch_to
     0.03%  reservation      reservation              [.] io.ReadAtLeast
     0.03%  dockerd          [kernel.kallsyms]        [k] ep_poll_callback
     0.03%  frontend         frontend                 [.] runtime.gcmarknewobject
     0.03%  geo              geo                      [.] encoding/json.(*decodeState).rescanLiteral
     0.03%  profile          profile                  [.] runtime.unlock2
     0.03%  dockerd          dockerd                  [.] internal/poll.(*FD).Read
     0.03%  reservation      reservation              [.] runtime.selectgo
     0.03%  mc-worker        [kernel.kallsyms]        [k] do_syscall_64
     0.03%  mc-lrumaint      libc.so.6                [.] __pthread_mutex_trylock
     0.03%  dockerd          [kernel.kallsyms]        [k] common_file_perm
     0.03%  recommendation   recommendation           [.] golang.org/x/net/http2/hpack.huffmanDecode
     0.03%  geo              [kernel.kallsyms]        [k] __schedule
     0.03%  search           search                   [.] runtime.getitab
     0.03%  profile          profile                  [.] runtime.greyobject
     0.03%  search           search                   [.] time.appendInt
     0.03%  frontend         [kernel.kallsyms]        [k] kmem_cache_alloc
